기준일ID,시간대구분,행정동코드,총생활인구수
20211231,23,11380590,17847.0866
20211231,23,11440700,18404.9264
20211231,23,11620545,12573.3092
20211231,23,11380520,33578.1261
20211231,23,11680545,29818.5022
20211231,23,11710580,28169.2815
20211231,23,11230650,35392.639
20211231,23,11110570,7414.0854
20211231,23,11110560,18723.1867
20211231,23,11260600,19400.7
20211231,23,11110650,24578.2773
20211231,23,11140670,12783.7657
20211231,23,11110530,12282.5108
20211231,23,11110540,3399.2853
20211231,23,11230570,16902.3141
20211231,23,11470680,22354.8728
20211231,23,11140650,10273.0344
20211231,23,11140540,10690.954
20211231,23,11215750,22068.3872
20211231,23,11170625,31324.8162
20211231,23,11740620,29024.9063
20211231,23,11620645,22939.3368
20211231,23,11650652,25555.7451
20211231,23,11650531,30358.9213
20211231,23,11290760,24708.5142
20211231,23,11680670,22483.988
20211231,23,11305600,17246.093
20211231,23,11560605,31872.3428
20211231,23,11500640,22236.4458
20211231,23,11500593,31297.3857
20211231,23,11140635,16046.806
20211231,23,11470570,16798.0158
20211231,23,11380551,23958.8652
20211231,23,11200550,16263.5457
20211231,23,11215870,27686.0746
20211231,23,11170685,25503.5703
20211231,23,11680660,9121.0753
20211231,23,11170660,12678.6325
20211231,23,11380631,26590.9912
20211231,23,11560585,16824.9815
20211231,23,11680720,26062.2937
20211231,23,11590650,15484.8031
20211231,23,11320681,15734.2487
20211231,23,11350621,31266.3368
20211231,23,11650660,21656.0979
20211231,23,11710670,31591.7568
20211231,23,11170650,10313.1165
20211231,23,11590510,31652.2704
20211231,23,11170630,26608.2769
20211231,23,11545640,13000.8512
20211231,23,11740600,33564.2063
20211231,23,11530760,17685.2277
20211231,23,11590550,20192.1334
20211231,23,11200570,23535.7638
20211231,23,11710710,26102.9062
20211231,23,11440600,18226.2669
20211231,23,11500570,19236.4816
20211231,23,11290715,23522.7063
20211231,23,11650621,27236.3468
20211231,23,11560540,49533.0601
20211231,23,11620625,26516.9235
20211231,23,11290685,15388.6991
20211231,23,11290610,17494.7447
20211231,23,11470530,18428.4115
20211231,23,11470670,22758.8028
20211231,23,11260610,26931.4336
20211231,23,11110580,6986.4142
20211231,23,11740560,21055.8255
20211231,23,11530750,26242.4019
20211231,23,11290575,22531.2078
20211231,23,11470630,14695.4267
20211231,23,11230710,16713.0469
20211231,23,11350720,11576.5856
20211231,23,11380560,28957.6744
20211231,23,11530510,32106.316
20211231,23,11440740,35102.8588
20211231,23,11740520,40760.3325
20211231,23,11680630,27159.8303
20211231,23,11500591,23742.492
20211231,23,11380570,42729.4813
20211231,23,11560660,9472.4748
20211231,23,11530520,18860.5381
20211231,23,11710620,36499.8323
20211231,23,11620685,24027.3375
20211231,23,11290600,17308.4018
20211231,23,11440690,21294.5132
20211231,23,11530780,55454.5053
20211231,23,11680580,20814.9635
20211231,23,11650581,34163.8811
20211231,23,11200660,14354.0785
20211231,23,11290525,21493.0783
20211231,23,11440710,19908.4317
20211231,23,11650600,17338.9123
20211231,23,11215840,23760.1941
20211231,23,11740540,17610.9394
20211231,23,11710531,11978.7537
20211231,23,11740610,42499.3661
20211231,23,11470560,17604.8994
20211231,23,11140590,13232.542
20211231,23,11320522,21100.1017
20211231,23,11680656,29209.4598
20211231,23,11110710,12759.6168
20211231,23,11170520,12842.8948
20211231,23,11710532,18404.8143
20211231,23,11260630,19581.5713
20211231,23,11140580,8428.5133
20211231,23,11350611,26798.1638
20211231,23,11740700,28863.0769
20211231,23,11500530,18766.1852
20211231,23,11200560,18130.6113
20211231,23,11620765,24712.0779
20211231,23,11200580,12832.521
20211231,23,11110515,15568.7728
20211231,23,11680700,47571.1629
20211231,23,11320521,17928.3256
20211231,23,11320515,19651.6268
20211231,23,11500604,12909.8439
20211231,23,11740580,14467.6941
20211231,23,11170510,15384.0104
20211231,23,11140520,9684.4835
20211231,23,11170690,14967.675
20211231,23,11140645,13906.024
20211231,23,11140625,13354.1404
20211231,23,11140665,9612.0677
20211231,23,11170590,10087.1117
20211231,23,11680510,23246.5836
20211231,23,11170570,16424.7157
