,행정동,자치구,사망자수,중상자수,경상자수,단일로,교차로
192,아현동,마포구,0,3,3,3,2
193,안암동1가,성북구,0,2,3,1,2
194,안암동2가,성북구,0,1,1,1,1
195,안암동3가,성북구,0,0,1,0,1
196,안암동4가,성북구,0,0,4,0,2
197,안암동5가,성북구,0,1,5,2,1
198,암사동,강동구,0,4,6,5,4
199,압구정동,강남구,0,2,10,4,4
200,양재동,서초구,0,7,15,10,5
201,양평동1가,영등포구,0,2,4,1,5
202,양평동2가,영등포구,0,2,3,2,2
203,양평동3가,영등포구,0,1,5,3,2
204,양평동4가,영등포구,0,0,4,1,3
205,양평동6가,영등포구,0,1,0,1,0
206,양화동,영등포구,0,1,3,4,0
207,여의도동,영등포구,0,4,23,10,4
208,역삼동,강남구,1,18,106,49,45
209,역촌동,은평구,0,10,11,5,11
210,연건동,종로구,0,0,3,0,3
211,연남동,마포구,0,1,4,2,2
212,연희동,서대문구,0,6,11,5,10
213,염리동,마포구,0,0,1,0,0
214,염창동,강서구,2,1,8,1,5
215,영등포동,영등포구,0,3,11,6,2
216,영등포동1가,영등포구,0,0,3,0,2
217,영등포동2가,영등포구,0,1,3,2,2
218,영등포동3가,영등포구,0,1,6,4,1
219,영등포동4가,영등포구,0,1,4,1,2
220,영등포동6가,영등포구,0,3,2,1,2
221,영등포동7가,영등포구,0,0,1,1,0
222,영등포동8가,영등포구,0,1,3,1,2
223,예지동,종로구,0,1,0,1,0
224,오금동,송파구,0,5,9,3,8
225,오류동,구로구,0,5,13,7,7
226,옥수동,성동구,0,2,2,1,3
227,옥천동,서대문구,0,0,1,1,0
228,외발산동,강서구,0,0,1,0,1
229,용강동,마포구,0,0,1,0,1
230,용답동,성동구,0,2,3,3,2
231,용두동,동대문구,0,12,26,9,19
232,용문동,용산구,0,0,6,3,1
233,용산동2가,용산구,0,4,9,4,0
234,용산동3가,용산구,0,1,4,1,3
235,용산동5가,용산구,0,3,0,1,2
236,우면동,서초구,0,3,2,3,1
237,우이동,강북구,0,0,1,1,0
238,원남동,종로구,0,0,3,2,0
239,원효로1가,용산구,0,3,3,1,4
240,원효로4가,용산구,1,0,0,1,0
241,월계동,노원구,0,6,15,7,10
242,율현동,강남구,0,0,2,1,0
243,을지로2가,중구,0,2,11,0,2
244,을지로4가,중구,0,0,1,0,1
245,을지로7가,중구,0,1,2,0,3
246,응봉동,성동구,0,0,3,2,1
247,응암동,은평구,0,6,6,2,7
248,의주로2가,중구,0,1,3,1,1
249,이문동,동대문구,0,4,13,7,9
250,이촌동,용산구,0,2,3,1,3
251,이태원동,용산구,0,3,9,7,2
252,인현동1가,중구,0,0,1,1,0
253,인현동2가,중구,0,1,0,1,0
254,일원동,강남구,1,6,10,9,5
255,자곡동,강남구,0,1,2,1,1
256,자양동,광진구,0,8,17,10,10
257,잠실동,송파구,0,3,26,6,17
258,잠원동,서초구,0,4,14,8,6
259,장교동,중구,0,0,1,0,1
260,장안동,동대문구,0,9,31,10,20
261,장위동,성북구,2,10,20,15,7
262,장지동,송파구,0,6,11,5,8
263,장충동2가,중구,0,1,5,1,2
264,재동,종로구,0,0,1,0,1
265,저동1가,중구,0,0,1,0,1
266,전농동,동대문구,1,8,25,4,22
267,정릉동,성북구,0,6,20,9,10
268,제기동,동대문구,0,5,11,4,8
269,종로2가,종로구,0,1,1,0,1
270,종로3가,종로구,0,0,2,1,0
271,종로4가,종로구,0,1,3,3,0
272,종로5가,종로구,0,1,4,2,2
273,종로6가,종로구,0,1,3,2,2
274,종암동,성북구,0,4,10,7,3
275,주자동,중구,0,0,2,0,1
276,중계동,노원구,1,10,17,4,19
277,중곡동,광진구,0,9,21,6,10
278,중화동,중랑구,0,7,16,11,8
279,증산동,은평구,0,2,3,2,2
280,진관동,은평구,2,2,9,3,7
281,창동,도봉구,0,7,19,6,14
282,창신동,종로구,0,2,11,8,2
283,창전동,마포구,0,0,2,1,1
284,창천동,서대문구,0,2,7,7,2
285,천왕동,구로구,0,0,3,3,0
286,천호동,강동구,0,8,22,15,6
287,청담동,강남구,0,4,15,10,6
288,청량리동,동대문구,0,4,8,8,2
289,청암동,용산구,0,0,2,1,0
290,청운동,종로구,0,1,0,1,0
291,청파동1가,용산구,0,1,0,1,0
292,청파동2가,용산구,0,1,3,2,1
293,청파동3가,용산구,0,3,3,1,2
294,초동,중구,0,1,0,0,1
295,충무로1가,중구,0,0,3,1,1
296,충무로4가,중구,0,0,2,2,0
297,충무로5가,중구,0,0,2,0,0
298,충신동,종로구,0,0,1,1,0
299,충정로2가,서대문구,0,1,3,0,3
300,충정로3가,서대문구,0,0,4,3,1
301,통의동,종로구,0,2,0,1,0
302,팔판동,종로구,1,0,0,1,0
303,평동,종로구,0,0,2,1,1
304,평창동,종로구,0,4,5,6,2
305,풍납동,송파구,0,2,8,4,4
306,하계동,노원구,0,3,11,3,8
307,하왕십리동,성동구,0,1,6,2,4
308,하월곡동,성북구,0,3,8,4,5
309,한강로1가,용산구,0,0,2,2,0
310,한강로2가,용산구,0,2,9,0,4
311,한강로3가,용산구,0,0,5,2,1
312,한남동,용산구,0,3,6,2,7
313,합정동,마포구,0,1,3,1,2
314,항동,구로구,0,0,2,0,1
315,행당동,성동구,0,7,25,10,18
316,행촌동,종로구,0,1,0,1,0
317,현저동,서대문구,2,0,3,2,2
318,혜화동,종로구,0,1,4,1,4
319,홍은동,서대문구,0,4,4,3,4
320,홍익동,성동구,0,1,1,0,2
321,홍제동,서대문구,0,6,12,8,6
322,홍지동,종로구,0,0,1,0,0
323,홍파동,종로구,0,0,1,0,0
324,화곡동,강서구,0,26,88,43,47
325,화양동,광진구,0,2,18,10,6
326,황학동,중구,0,6,3,4,3
327,회기동,동대문구,0,3,8,3,5
328,회현동2가,중구,0,1,1,0,0
329,효창동,용산구,0,0,3,1,2
330,후암동,용산구,0,1,3,2,0
331,훈정동,종로구,0,0,1,1,0
332,휘경동,동대문구,1,6,16,7,14
333,흑석동,동작구,0,1,4,5,0
