시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,도로형태,가해운전자 차종,피해운전자 차종
서울특별시 영등포구 영등포동7가,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,승용,이륜
서울특별시 서초구 방배동,중상사고,0,1,0,0,차대차 - 정면충돌,단일로 - 기타,승용,이륜
서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,이륜
서울특별시 중랑구 망우동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,이륜
서울특별시 송파구 가락동,경상사고,0,0,1,0,차대사람 - 보도통행중,단일로 - 기타,기타불명,보행자
서울특별시 강북구 미아동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,이륜
서울특별시 중랑구 면목동,경상사고,0,0,2,0,차대차 - 측면충돌,단일로 - 기타,이륜,승용
서울특별시 관악구 신림동,중상사고,0,1,0,0,차대사람 - 횡단중,교차로 - 교차로부근,승용,보행자
서울특별시 강서구 마곡동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,이륜,승용
서울특별시 성북구 장위동,경상사고,0,0,2,0,차대차 - 후진중충돌,교차로 - 교차로부근,승용,승용
서울특별시 양천구 신월동,중상사고,0,1,0,0,차대차 - 기타,단일로 - 기타,승용,승합
서울특별시 양천구 신월동,경상사고,0,0,2,0,차대차 - 기타,단일로 - 기타,승용,승용
서울특별시 동대문구 휘경동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,이륜
서울특별시 영등포구 신길동,경상사고,0,0,1,1,차대차 - 기타,교차로 - 교차로부근,이륜,이륜
서울특별시 동작구 흑석동,경상사고,0,0,3,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 중랑구 중화동,중상사고,0,1,0,0,차대사람 - 기타,단일로 - 기타,화물,보행자
서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 횡단중,단일로 - 기타,이륜,보행자
서울특별시 송파구 풍납동,경상사고,0,0,1,1,차대차 - 추돌,교차로 - 교차로안,승용,승용
서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 보도통행중,단일로 - 기타,승용,보행자
서울특별시 강동구 암사동,중상사고,0,1,0,0,차대차 - 측면충돌,단일로 - 기타,승용,이륜
서울특별시 서초구 방배동,경상사고,0,0,1,0,차대사람 - 횡단중,교차로 - 교차로부근,화물,보행자
서울특별시 마포구 합정동,중상사고,0,2,0,0,차대사람 - 차도통행중,교차로 - 교차로안,승용,보행자
서울특별시 구로구 구로동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,승용,원동기
서울특별시 영등포구 대림동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 영등포구 대림동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로 - 교차로안,원동기,승용
서울특별시 구로구 구로동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,이륜,승용
서울특별시 서초구 서초동,경상사고,0,0,1,0,차대차 - 추돌,단일로 - 기타,승용,이륜
서울특별시 광진구 구의동,경상사고,0,0,2,0,차대차 - 기타,교차로 - 교차로부근,승용,승용
서울특별시 영등포구 당산동3가,경상사고,0,0,1,0,차대사람 - 횡단중,교차로 - 교차로안,승용,보행자
서울특별시 구로구 구로동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 구로구 고척동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,원동기
서울특별시 종로구 창성동,중상사고,0,1,0,0,차대차 - 정면충돌,교차로 - 교차로안,승용,이륜
서울특별시 관악구 신림동,경상사고,0,0,3,0,차대차 - 추돌,단일로 - 기타,화물,승용
서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,이륜
서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로부근,승용,승용
서울특별시 은평구 구산동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로 - 교차로안,이륜,이륜
서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 보도통행중,단일로 - 기타,자전거,보행자
서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 횡단중,단일로 - 기타,화물,보행자
서울특별시 강서구 화곡동,중상사고,0,1,1,0,차대차 - 기타,기타 - 기타,승용,승용
서울특별시 강서구 마곡동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로 - 교차로안,승용,자전거
서울특별시 강동구 천호동,경상사고,0,0,2,0,차대차 - 추돌,교차로 - 교차로부근,승용,승용
서울특별시 노원구 공릉동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 강서구 가양동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로 - 교차로부근,승용,승용
서울특별시 노원구 월계동,경상사고,0,0,2,0,차대차 - 추돌,단일로 - 교량,승용,승용
서울특별시 관악구 신림동,경상사고,0,0,1,0,차대사람 - 기타,단일로 - 기타,승용,보행자
서울특별시 강북구 수유동,중상사고,0,1,0,0,차대차 - 기타,교차로 - 교차로안,승용,이륜
서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로부근,승용,승용
서울특별시 강서구 화곡동,경상사고,0,0,2,0,차대차 - 기타,교차로 - 교차로안,기타불명,승용
서울특별시 구로구 개봉동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,이륜,이륜
서울특별시 성북구 동선동1가,경상사고,0,0,1,0,차량단독 - 공작물충돌,교차로 - 교차로안,승용,
서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로부근,승용,이륜
서울특별시 중랑구 상봉동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 송파구 방이동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,교차로 - 교차로안,승용,보행자
서울특별시 양천구 신월동,경상사고,0,0,2,1,차대차 - 기타,교차로 - 교차로부근,승용,승용
서울특별시 서대문구 홍은동,경상사고,0,0,2,0,차대차 - 측면충돌,단일로 - 기타,승용,이륜
서울특별시 종로구 명륜2가,사망사고,1,0,0,0,차대사람 - 횡단중,교차로 - 교차로횡단보도내,승합,보행자
서울특별시 마포구 망원동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,승용
서울특별시 영등포구 신길동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,이륜
